"entry_year","CBP.Entry...Port.of.Entry.Code","CBP.Entry...Port.of.Entry.Name","CBP.Line...Country.of.Origin","total_quantity"
2022,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",11305
2024,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",9540.69
NA,2720,"LOS ANGELES INT. AIRPORT, CA","ECUADOR",9040
2023,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",8000
2022,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",7071
2025,5201,"MIAMI, FL","GUATEMALA",6980.74
NA,2720,"LOS ANGELES INT. AIRPORT, CA","AUSTRALIA",6660
NA,5206,"MIAMI INT. AIRPORT, FL","ECUADOR",6609
2024,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",6575
2023,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",6420
2025,4601,"NEW YORK-NEWARK, NJ","FRANCE",6257
2021,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",6208.64
2021,3801,"DETROIT, MI","CANADA",6096.33629056
2021,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",5870
2024,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",5056.13013065
2025,2507,"CALEXICO EAST, CA","MICRONESIA",4268
2025,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",4125
2022,5206,"MIAMI INT. AIRPORT, FL","PERU",3985
2022,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","FRANCE",3602
2025,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",3377.14
2021,5206,"MIAMI INT. AIRPORT, FL","PERU",3312
2024,5201,"MIAMI, FL","GUATEMALA",3110.79
2021,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",3105
2024,5206,"MIAMI INT. AIRPORT, FL","NETHERLANDS",3070
2022,4601,"NEW YORK-NEWARK, NJ","AUSTRIA",2630
2024,4601,"NEW YORK-NEWARK, NJ","FRANCE",2465
2024,4601,"NEW YORK-NEWARK, NJ","AUSTRIA",2440
2023,4601,"NEW YORK-NEWARK, NJ","AUSTRIA",2038
2022,712,"CHAMPLAIN-ROUSES POINT, NY","CANADA",2032.09
2023,5206,"MIAMI INT. AIRPORT, FL","ARGENTINA",2005
2024,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",1895
2025,2801,"SAN FRANCISCO INT. AIRPORT, CA","BELGIUM",1675
2025,2904,"PORTLAND, OR","NETHERLANDS",1410
2025,4601,"NEW YORK-NEWARK, NJ","AUSTRIA",1380
2025,2720,"LOS ANGELES INT. AIRPORT, CA","FRANCE",1275
2021,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","CHILE",1270
2025,5201,"MIAMI, FL","GUATEMALA                     ",1040.31
2025,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",1015
NA,5206,"MIAMI INT. AIRPORT, FL","ARGENTINA",1000
2023,5206,"MIAMI INT. AIRPORT, FL","NETHERLANDS",975
NA,2720,"LOS ANGELES INT. AIRPORT, CA","NETHERLANDS",975
2024,2904,"PORTLAND, OR","NETHERLANDS",970
2024,5206,"MIAMI INT. AIRPORT, FL","GUATEMALA",886
2023,2720,"LOS ANGELES INT. AIRPORT, CA","FRANCE",845
2025,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",755
NA,2801,"SAN FRANCISCO INT. AIRPORT, CA","NETHERLANDS",750
2025,5203,"PORT EVERGLADES, FL","GUATEMALA                     ",544.32
NA,5203,"PORT EVERGLADES, FL","GUATEMALA",504.86
2025,4601,"NEW YORK-NEWARK, NJ","NETHERLANDS",450
NA,5201,"MIAMI, FL","GUATEMALA",420.49
NA,5206,"MIAMI INT. AIRPORT, FL","GUATEMALA",410.42
2024,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",400
2025,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","GERMANY",400
2022,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","ITALY",385
2024,2307,"RIO GRANDE CITY, TX","MEXICO",365
2022,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","GERMANY",320
NA,4601,"NEW YORK-NEWARK, NJ","FRANCE",300
2023,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",295
NA,5201,"MIAMI, FL","GUATEMALA                     ",272.16
2022,3004,"BLAINE, WA","BELGIUM",256.27968905
2024,209,"DERBY LINE, VT","CANADA",254
2024,2904,"PORTLAND, OR","BELGIUM",250
2021,3004,"BLAINE, WA","NETHERLANDS",249.4758035
2025,5309,"HOUSTON INTC. AIRPORT, TX","FRANCE",230
2025,5206,"MIAMI INT. AIRPORT, FL","NETHERLANDS",228
2022,4601,"NEW YORK-NEWARK, NJ","FRANCE",225
NA,5203,"PORT EVERGLADES, FL","GUATEMALA                     ",204.12
2021,3004,"BLAINE, WA","BELGIUM",199.5806428
2022,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",160
2021,4601,"NEW YORK-NEWARK, NJ","FRANCE",150
2023,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","ITALY",150
NA,5206,"MIAMI INT. AIRPORT, FL","NETHERLANDS",150
2023,417,"LOGAN AIRPORT, MA","NETHERLANDS",110
2024,2910,"PORTLAND INT. AIRPORT, OR","BELGIUM",100
2024,417,"LOGAN AIRPORT, MA","NETHERLANDS",89
2021,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","UNITED KINGDOM",85
2023,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",80
2022,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",75
2022,5203,"PORT EVERGLADES, FL","PERU",65
2023,2720,"LOS ANGELES INT. AIRPORT, CA","GERMANY",60
2022,417,"LOGAN AIRPORT, MA","NETHERLANDS",45
2022,2720,"LOS ANGELES INT. AIRPORT, CA","JAPAN",40.3
2021,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",40
2023,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","GERMANY",30
2025,5201,"MIAMI, FL","ECUADOR",25
2025,1108,"PHILADELPHIA INT. AIRPORT, PA","NETHERLANDS",20
NA,2801,"SAN FRANCISCO INT. AIRPORT, CA","FRANCE",10
2025,2506,"OTAY MESA, CA","UNITED STATES OF AMERICA",6.72
2021,417,"LOGAN AIRPORT, MA","NETHERLANDS",5
2023,5206,"MIAMI INT. AIRPORT, FL","PERU",5
2024,1101,"PHILADELPHIA, PA","PERU",5
2024,1102,"CHESTER, PA","PERU",5
2025,417,"LOGAN AIRPORT, MA","NETHERLANDS",5
2025,5206,"MIAMI INT. AIRPORT, FL","UNITED STATES OF AMERICA",5
NA,417,"LOGAN AIRPORT, MA","NETHERLANDS",5
2025,2720,"LOS ANGELES INT. AIRPORT, CA","JAPAN",4
2024,5206,"MIAMI INT. AIRPORT, FL","CHILE",1
2025,4701,"JOHN F. KENNEDY INT. AIRPORT, NY","JAPAN",1
